x,y,token
2.3906553,-4.7722816,those
32.92128,7.063127,fanciful
16.893772,37.970528,troublesome
13.505379,21.694048,creature
11.207541,-58.28136,head
10.586402,38.757065,certainly
7.7796893,45.955944,believe
54.043858,-14.478633,","""
10.901443,33.29438,sometimes
-9.603563,41.371693,dearest
0.6920811,45.59381,mean
6.3391666,43.80178,_you_
12.2185955,-3.062522,horrible
14.040244,22.18561,idea
-5.6607456,45.2698,oh
6.9390955,33.274902,meant
-8.013169,45.23011,myself
-0.35128137,36.388683,loves
12.744764,38.60242,joke
15.748999,-10.732941,another
14.772237,23.947535,fact
30.236622,45.413082,faults
0.13799916,28.215576,told
19.813522,36.157528,agreeable
0.6061476,28.457634,knew
22.825401,49.96375,suspect
2.3823063,40.23503,knows
10.397144,41.495113,flatter
35.134907,36.963745,reflection
37.67812,-21.012848,has
-2.1177878,7.731647,persons
17.389406,29.762218,chances
17.729956,46.742542,willing
-5.404485,38.157227,let
-54.39044,0.53104776,pass
53.074547,-11.766455,"--"""
-25.123554,33.613495,hear
16.904615,35.63636,behaved
30.158195,6.6020026,punctual
10.949224,-4.5517817,looks
-19.346888,-9.176079,tear
30.952589,-33.384644,face
10.278687,5.7260165,seen
3.9304235,-8.771492,apart
-13.550568,-32.3259,bears
8.984098,40.297424,sorry
17.075947,49.376183,lose
55.599724,33.819218,miss
2.1541064,40.877895,thinks
32.258324,-29.88317,turned
-38.844948,-2.011437,divided
-12.540522,-4.521302,tears
27.5884,17.439674,smiles
-0.09679442,57.10439,should
-28.351128,30.919168,acceptable
16.71397,22.093555,important
25.830889,44.167973,secure
2.932919,16.951471,provision
-39.79265,11.146203,therefore
12.608244,45.321686,allow
35.639977,48.426517,pain
43.268505,15.85191,happily
-1.5602342,24.396597,forgotten
4.063638,31.629425,matter
29.28465,12.369063,considerable
-60.133793,-31.929466,four
43.412174,4.610422,years_ago
44.342808,21.45116,proved
14.592864,37.715908,marry
31.16444,-31.305012,shook
8.396285,1.0387166,fondly
55.489857,-13.813975,replied
13.517001,42.4499,matches
12.198194,16.33406,whatever
-25.65327,35.562344,pray
-17.985966,30.945406,none
22.106207,46.56896,greatest
41.087322,31.647507,amusement
40.21765,34.54695,success
24.906145,48.13597,perfectly
40.749935,26.244486,constantly
33.220272,18.604969,occupied
10.719328,18.149033,either
10.045793,55.663914,friends
33.70871,-7.487945,wherever
14.954579,42.75658,need
54.07057,16.042294,spend
29.354702,2.5207193,single
-68.00024,-15.882413,year
-13.34379,34.325256,alone
20.899527,12.283949,others
-63.746796,8.917572,son
54.082905,-1.3560517,uncle
45.11324,-20.066498,letting
-9.681974,-23.558104,solemn
4.4480953,42.770473,nonsense
40.996376,37.595306,subject
-7.1902556,28.132824,believed
45.126278,19.506535,since
52.923695,19.074469,met
-0.8879217,-28.865131,broadway
44.536133,-35.22433,lane
57.287544,-14.050046,began
13.580826,-47.29029,darted
33.66484,31.248434,gallantry
5.66379,3.4039743,borrowed
45.94172,-21.68565,farmer
9.234191,4.0553255,planned
-43.752968,16.798836,blessed
21.505993,24.000143,instance
-9.854005,36.913227,leave
24.988039,-13.431312,making
7.932232,46.203503,understand
35.389217,42.107143,endeavour
20.486633,38.742706,properly
38.267384,30.947845,endeavouring
-10.932641,34.43225,bring
-24.983368,55.149395,worthy
42.15918,32.05723,employment
16.27415,-1.4172691,young
46.059624,-5.0760775,lady
22.701603,49.986572,imagine
-57.43649,3.2715137,saying
5.1804295,43.665485,yourself
12.753038,43.31906,idle
54.384617,-17.428806,",'"
-8.306998,47.79305,why
2.6221833,45.564987,talk
31.559309,40.726353,merit
-11.344628,18.184002,proud
4.179497,39.05813,guess
6.5803075,39.183453,_that_
-1.27339,55.41612,can
-7.2467213,30.080643,known
-12.205354,7.489287,triumph
14.563926,48.324306,depend
17.722525,16.706837,merely
-0.43203887,41.636806,luck
-14.341823,-8.700409,talent
-48.768368,11.198147,word
8.257476,41.64291,quarrel
24.196232,36.035286,claim
23.969429,-27.309431,drawn
15.833115,8.868678,pictures
35.87655,-17.719385,something
7.0288825,48.296787,nothing
42.52319,28.303782,visits
0.058697287,23.659035,given
16.63206,30.766348,matters
37.37841,-0.7627041,enough
26.487862,47.49562,comprehend
23.13525,-34.622513,open
19.64703,28.153591,hearted
14.176133,36.515057,weston
19.767128,28.124893,unaffected
-12.84819,29.280571,safely
0.7093713,42.845547,manage
19.122707,37.898197,likely
6.8672314,48.270096,harm
19.30695,42.104748,interference
44.069923,-9.911658,rejoined
-34.483074,35.062157,understanding
11.913785,35.70111,silly
-26.879532,-11.878833,break
50.03564,17.079601,circle
49.064457,38.783924,mr_elton
37.904835,-12.963691,",--"
11.791898,2.2399697,whole
26.430573,7.8274965,fitted
50.08743,26.257584,comfortably
-25.334991,19.542774,shame
56.581932,12.916183,longer
8.568806,-31.886816,joining
-18.207731,-15.505196,hands
36.319862,-2.2912478,same
4.0407004,18.167965,service
-26.509678,30.601084,shew
38.611076,34.50667,attention
2.2781012,50.568466,ask
6.064312,42.12467,dare_say
52.109165,-23.818457,laughing
13.210864,45.970444,invite
3.6242213,-40.91682,fish
12.649514,45.437775,chuse
-60.09888,-31.638561,six
-9.8604965,39.280903,care
21.500689,-4.9404836,ii
14.843586,-6.96604,native
-6.5267634,8.163173,born
24.450224,34.52839,respectable
-37.72293,-11.253854,generations
-3.8367927,-23.8113,rising
22.802824,29.286453,property
-1.3211216,23.117096,received
29.934038,33.75425,education
36.545784,20.722752,succeeding
24.556833,-24.547373,small
-23.81632,5.758278,become
3.6087887,3.5303369,homely
26.447487,23.968143,pursuits
9.881569,57.617546,brothers
50.68223,24.102362,engaged
18.991776,49.62392,satisfied
27.344421,25.041344,active
24.149511,21.368979,social
-50.819466,-25.534458,entering
20.567139,-21.168343,county
46.469055,-7.6065507,captain
28.25634,15.882968,general
41.885124,22.073895,favourite
6.2541146,-15.114095,military
51.394676,29.62866,introduced
53.680023,34.687187,churchill
14.695868,32.027775,yorkshire
-48.067818,-4.262219,fell
-31.055557,35.453865,love
22.860126,42.78529,surprized
11.59735,17.633846,except
-13.77017,-9.767368,full
-16.25036,14.608964,pride
27.870852,35.024647,importance
28.072264,36.45357,connexion
13.039101,51.8831,offend
-25.973616,31.324453,command
16.804811,-24.761473,bore
27.011446,34.79147,proportion
22.671923,29.730968,estate
-18.203829,-0.18430409,took
-9.096827,7.961353,infinite
